Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.cpu.dcache.overallAccesses::cpu.data	system.cpu.icache.overallAccesses::total	system.l2.demandAccesses::total	simSeconds
lbm_L1i32kBa1_L1d64kBa8_L22MB 3.502986 0.060971 0.000114 0.999861 48795045 6046147 1488303 0.175149
lbm_L1i32kBa1_L1d64kBa8_L24MB 3.498645 0.060971 0.000114 0.999861 48795045 6046147 1488303 0.174932
lbm_L1i32kBa1_L1d128kBa4_L22MB 3.502986 0.060971 0.000114 0.999861 48795045 6046147 1488303 0.175149
lbm_L1i32kBa1_L1d128kBa4_L24MB 3.498645 0.060971 0.000114 0.999861 48795045 6046147 1488303 0.174932
lbm_L1i32kBa1_L1d128kBa8_L22MB 3.502986 0.060971 0.000114 0.999861 48795045 6046147 1488303 0.175149
lbm_L1i32kBa1_L1d128kBa8_L24MB 3.498645 0.060971 0.000114 0.999861 48795045 6046147 1488303 0.174932
lbm_L1i32kBa2_L1d64kBa4_L22MB 3.495555 0.060971 0.000099 0.999926 48795046 6046182 1488207 0.174778
lbm_L1i32kBa2_L1d64kBa4_L24MB 3.491403 0.060971 0.000099 0.999926 48795046 6046182 1488207 0.174570
lbm_L1i32kBa2_L1d64kBa8_L22MB 3.495555 0.060971 0.000099 0.999926 48795046 6046182 1488207 0.174778
lbm_L1i32kBa2_L1d64kBa8_L24MB 3.491403 0.060971 0.000099 0.999926 48795046 6046182 1488207 0.174570
lbm_L1i32kBa2_L1d128kBa4_L22MB 3.495555 0.060971 0.000099 0.999926 48795046 6046182 1488207 0.174778
lbm_L1i32kBa2_L1d128kBa4_L24MB 3.491403 0.060971 0.000099 0.999926 48795046 6046182 1488207 0.174570
lbm_L1i32kBa2_L1d128kBa8_L22MB 3.495555 0.060971 0.000099 0.999926 48795046 6046182 1488207 0.174778
lbm_L1i32kBa2_L1d128kBa8_L24MB 3.491403 0.060971 0.000099 0.999926 48795046 6046182 1488207 0.174570
lbm_L1i64kBa4_L1d64kBa4_L2s2MB 3.435670 0.060971 0.000086 0.999980 48795047 6046201 1488129 0.171784 
lbm_L1i64kBa4_L1d64kBa4_L2s4MB 3.431821 0.060971 0.000086 0.999980 48795047 6046201 1488129 0.171591
lbm_L1i64kBa8_L1d64kBa8_L2s2MB 3.435670 0.060971 0.000085 0.999983 48795048 6046205 1488125 0.171784
lbm_L1i64kBa8_L1d64kBa8_L2s4MB 3.431933 0.060971 0.000085 0.999983 48795048 6046205 1488125 0.171597
lbm_L1i128kBa4_L1d128kBa4_L2s2MB 3.435670 0.060971 0.000085 0.999983 48795048 6046205 1488125 0.171784
lbm_L1i128kBa4_L1d128kBa4_L2s4MB 3.431933 0.060971 0.000085 0.999983 48795048 6046205 1488125 0.171597
lbm_L1i128kBa8_L1d128kBa8_L2s2MB 3.435670 0.060971 0.000085 0.999983 48795048 6046205 1488125 0.171784
lbm_L1i128kBa8_L1d128kBa8_L2s4MB 3.431933 0.060971 0.000085 0.999983 48795048 6046205 1488125 0.171597
